generation,best_fitness,mean_fitness,std_fitness,best_individual,elapsed_s
0,0.48782519449896605,0.45372489245458353,0.020407064678468808,"{""n_estimators"": 320, ""max_depth"": 2, ""learning_rate"": 0.2216222181412072, ""subsample"": 0.7681140457273503, ""colsample_bytree"": 0.9865578819896853, ""min_child_weight"": 7, ""gamma"": 0.39400099039229086, ""scale_pos_weight"": 4.224961095478022}",4.632
1,0.49467128035822344,0.4782355233543537,0.017719851578507518,"{""n_estimators"": 320, ""max_depth"": 2, ""learning_rate"": 0.2216222181412072, ""subsample"": 0.8841567887961861, ""colsample_bytree"": 0.9865578819896853, ""min_child_weight"": 7, ""gamma"": 4.025229003856071, ""scale_pos_weight"": 4.224961095478022}",6.569
2,0.49467128035822344,0.4913428750652331,0.002264155541860451,"{""n_estimators"": 320, ""max_depth"": 2, ""learning_rate"": 0.2216222181412072, ""subsample"": 0.8841567887961861, ""colsample_bytree"": 0.9865578819896853, ""min_child_weight"": 7, ""gamma"": 4.025229003856071, ""scale_pos_weight"": 4.224961095478022}",7.734
3,0.49467128035822344,0.49041483933329566,0.0065357700778062,"{""n_estimators"": 320, ""max_depth"": 2, ""learning_rate"": 0.2216222181412072, ""subsample"": 0.8841567887961861, ""colsample_bytree"": 0.9865578819896853, ""min_child_weight"": 7, ""gamma"": 4.025229003856071, ""scale_pos_weight"": 4.224961095478022}",8.874
4,0.49596260796595176,0.49371969025726015,0.002547878766211341,"{""n_estimators"": 342, ""max_depth"": 2, ""learning_rate"": 0.2216222181412072, ""subsample"": 0.8841567887961861, ""colsample_bytree"": 0.9865578819896853, ""min_child_weight"": 7, ""gamma"": 4.025229003856071, ""scale_pos_weight"": 3.8751431929198255}",10.029
5,0.5026875018001014,0.49411218306122784,0.004421212005499063,"{""n_estimators"": 320, ""max_depth"": 2, ""learning_rate"": 0.2216222181412072, ""subsample"": 0.8841567887961861, ""colsample_bytree"": 0.9865578819896853, ""min_child_weight"": 7, ""gamma"": 4.0762272217452695, ""scale_pos_weight"": 2.9001702713008504}",11.173
6,0.5056665969999959,0.49962540779391584,0.00446891524582017,"{""n_estimators"": 320, ""max_depth"": 2, ""learning_rate"": 0.2216222181412072, ""subsample"": 0.9069139849091196, ""colsample_bytree"": 0.9865578819896853, ""min_child_weight"": 7, ""gamma"": 4.0762272217452695, ""scale_pos_weight"": 2.9001702713008504}",12.378
7,0.5056665969999959,0.5043074790412292,0.0008653621431918708,"{""n_estimators"": 320, ""max_depth"": 2, ""learning_rate"": 0.2216222181412072, ""subsample"": 0.9069139849091196, ""colsample_bytree"": 0.9865578819896853, ""min_child_weight"": 7, ""gamma"": 4.0762272217452695, ""scale_pos_weight"": 2.9001702713008504}",13.51
